,TIME,POSICAO,NOME,PONTUACAO,RODADA,G,A,FT,FD,FF,FS,SG,DS,DE,DP,PS,PP,PC,PI,I,GC,GS,FC,CV,CA,ADVERSARIO,CASA,FORA
0,Atlético-MG,Meia,Zaracho,2.6,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Corinthians,0,1
1,Atlético-MG,Meia,Igor Gomes,1.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Corinthians,0,1
2,Fortaleza,Meia,Pedro Augusto,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,0,1
3,Corinthians,Atacante,Yuri Alberto,1.3,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,0,1,Atlético-MG,1,0
4,Vitória,Lateral,Lucas Esteves,-1.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,Palmeiras,1,0
5,Bragantino,Zagueiro,Luan Cândido,0.1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,Fluminense,0,1
6,Atlético-GO,Atacante,Derek,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flamengo,1,0
7,Botafogo,Atacante,Júnior Santos,6.8,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,Cruzeiro,0,1
8,Fluminense,Lateral,Guga,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bragantino,1,0
9,Atlético-GO,Meia,Rhaldney,1.6,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,Flamengo,1,0
10,Vitória,Atacante,Alerrandro,3.0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Palmeiras,1,0
11,Cuiabá,Lateral,Railan,2.8,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Athlético-PR,0,1
12,Corinthians,Lateral,Matheuzinho,4.2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,Atlético-MG,1,0
13,São Paulo,Zagueiro,Diego Costa,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Fortaleza,1,0
14,Criciúma,Lateral,Claudinho,6.0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,1,0
15,Bragantino,Atacante,Vitinho,13.0,1,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,1,Fluminense,0,1
16,Fortaleza,Zagueiro,Brítez,0.8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,São Paulo,0,1
17,Botafogo,Zagueiro,Lucas Halter,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Cruzeiro,0,1
18,Athlético-PR,Atacante,Mastriani,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,1,0
19,Juventude,Meia,Thiaguinho,1.4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Criciúma,0,1
20,Athlético-PR,Atacante,Julimar,8.3,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,Cuiabá,1,0
21,Cruzeiro,Goleiro,Anderson,-1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,Botafogo,1,0
22,Athlético-PR,Atacante,Canobbio,17.9,1,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Cuiabá,1,0
23,Bragantino,Atacante,Laquintana,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
24,Bragantino,Meia,Eric Ramires,4.3,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,Fluminense,0,1
25,Athlético-PR,Zagueiro,Kaíque Rocha,8.8,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,Cuiabá,1,0
26,Bragantino,Meia,Jadsom Silva,-1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Fluminense,0,1
27,Cruzeiro,Atacante,Gabriel Veron,-0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Botafogo,1,0
28,Palmeiras,Meia,Gabriel Menino,3.9,1,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,2,0,1,Vitória,0,1
29,Criciúma,Meia,Higor Meritão,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,1,0
30,Vitória,Goleiro,Lucas Arcanjo,2.5,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,Palmeiras,1,0
31,Vasco,Zagueiro,João Victor,1.9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,Grêmio,1,0
32,Atlético-GO,Zagueiro,Adriano Martins,1.1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,Flamengo,1,0
33,Juventude,Lateral,João Lucas,1.6,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,Criciúma,0,1
34,Vitória,Meia,Dudu,3.6,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,1,0
35,Bragantino,Goleiro,Fabrício,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
36,Fortaleza,Atacante,Moisés,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,0,1
37,Fortaleza,Técnico,Juan Vojvoda,6.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,0,1
38,Athlético-PR,Lateral,Leo Godoy,12.9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Cuiabá,1,0
39,Vitória,Zagueiro,Wagner Leonardo,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,1,0
40,Cruzeiro,Zagueiro,João Marcelo,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botafogo,1,0
41,Athlético-PR,Goleiro,Bento,6.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,1,0
42,São Paulo,Zagueiro,Ferraresi,2.9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,1,0
43,Cuiabá,Lateral,Rikelme,1.7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,0,1
44,Fortaleza,Atacante,Lucero,6.9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,São Paulo,0,1
45,Vasco,Lateral,Lucas Piton,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Grêmio,1,0
46,Palmeiras,Meia,Maurício,4.8,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,Vitória,0,1
47,Internacional,Atacante,Wesley,9.4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Bahia,1,0
48,Internacional,Goleiro,Rochet,2.5,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,Bahia,1,0
49,São Paulo,Técnico,Thiago Carpini,3.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,1,0
50,Bragantino,Goleiro,Lucão,2.0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,Fluminense,0,1
51,Internacional,Meia,Bruno Gomes,0.1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Bahia,1,0
52,Bahia,Meia,Caio Alexandre,4.1,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Internacional,0,1
53,São Paulo,Meia,Rodrigo Nestor,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fortaleza,1,0
54,Bahia,Lateral,Luciano Juba,2.9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,0,1
55,Palmeiras,Meia,Richard Ríos,9.6,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,Vitória,0,1
56,Botafogo,Atacante,Jeffinho,2.5,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Cruzeiro,0,1
57,São Paulo,Meia,Michel Araújo,4.3,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Fortaleza,1,0
58,Cuiabá,Meia,Max,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,0,1
59,Palmeiras,Lateral,Vanderlan,5.2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,Vitória,0,1
60,Juventude,Atacante,Marcelinho,2.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Criciúma,0,1
61,Athlético-PR,Meia,Zé Vitor,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,1,0
62,Fluminense,Meia,André,-0.6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Bragantino,1,0
63,Corinthians,Lateral,Hugo,6.2,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,Atlético-MG,1,0
64,Corinthians,Meia,Fausto Vera,-0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Atlético-MG,1,0
65,Cuiabá,Atacante,Isidro Pitta,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,0,1
66,Botafogo,Atacante,Luiz Henrique,1.8,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,0,1
67,Fluminense,Meia,Martinelli,1.3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,1,0
68,Botafogo,Lateral,Hugo,4.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cruzeiro,0,1
69,Palmeiras,Atacante,Lázaro,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitória,0,1
70,Palmeiras,Técnico,Abel Ferreira,7.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitória,0,1
71,Fortaleza,Atacante,Machuca,8.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,São Paulo,0,1
72,Athlético-PR,Lateral,Esquivel,9.5,1,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,3,0,0,Cuiabá,1,0
73,Bragantino,Lateral,Andrés Hurtado,4.8,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
74,Fluminense,Atacante,John Kennedy,3.0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,1,0
75,Bahia,Atacante,Biel,8.9,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Internacional,0,1
76,Bragantino,Lateral,Guilherme Lopes,1.6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
77,Atlético-GO,Zagueiro,Alix Vinicius,-2.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,Flamengo,1,0
78,Grêmio,Zagueiro,Gustavo Martins,8.7,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Vasco,0,1
79,Cuiabá,Técnico,Luiz Fernando Iubel,1.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,0,1
